matter_id,client_id,matter_name,practice_area,responsible_partner,open_date,close_date
117,165,Matter_117,Litigation,43,2018-10-31,2021-12-19
118,166,Matter_118,Tax,27,2023-01-18,2024-07-18
119,83,Matter_119,Litigation,69,2023-03-24,2024-10-17
120,136,Matter_120,IP,20,2023-10-21,2025-10-11
121,109,Matter_121,Tax,11,2021-11-12,2023-09-05
122,65,Matter_122,Tax,74,2019-06-10,2020-12-21
123,86,Matter_123,Tax,38,2020-01-16,2024-06-29
124,145,Matter_124,IP,6,2019-06-13,2021-01-25
125,71,Matter_125,M&A,72,2022-11-08,2022-01-26
126,45,Matter_126,M&A,23,2023-08-22,2021-07-29
127,132,Matter_127,M&A,47,2018-08-15,2025-05-09
128,36,Matter_128,IP,90,2019-05-24,2023-08-18
129,70,Matter_129,Tax,46,2023-10-24,2022-10-13
130,159,Matter_130,M&A,12,2019-09-19,2020-01-28
131,19,Matter_131,IP,90,2021-05-30,2022-12-04
132,189,Matter_132,M&A,13,2019-11-06,2024-04-20
133,108,Matter_133,Litigation,62,2019-10-26,2022-08-22
134,182,Matter_134,M&A,82,2021-08-14,2025-01-03
135,167,Matter_135,M&A,89,2020-07-12,2022-12-29
136,91,Matter_136,Tax,97,2021-11-18,2023-09-12
137,90,Matter_137,IP,60,2023-10-27,2023-05-21
138,19,Matter_138,Tax,43,2021-03-09,2020-02-16
139,39,Matter_139,Tax,76,2018-11-20,2022-12-07
140,126,Matter_140,Tax,100,2020-10-23,2024-01-12
141,195,Matter_141,Tax,68,2020-03-15,2022-08-25
142,173,Matter_142,Tax,5,2021-01-29,2020-09-11
143,141,Matter_143,M&A,37,2019-05-28,2021-04-29
144,126,Matter_144,Tax,72,2021-05-25,2025-03-21
145,58,Matter_145,Tax,92,2023-12-26,2023-06-10
146,148,Matter_146,IP,31,2019-01-18,2021-10-16
147,200,Matter_147,Litigation,9,2023-08-21,2024-07-18
148,61,Matter_148,M&A,51,2019-11-22,2025-08-20
149,127,Matter_149,M&A,29,2019-09-24,2023-06-27
150,105,Matter_150,M&A,78,2019-12-03,2021-04-25
151,167,Matter_151,Tax,40,2021-10-14,2023-04-23
152,1,Matter_152,Tax,41,2018-06-18,2024-02-14
153,131,Matter_153,Tax,86,2018-04-27,2022-06-23
154,92,Matter_154,IP,11,2018-11-29,2022-06-16
155,190,Matter_155,Litigation,23,2018-07-06,2021-07-01
156,191,Matter_156,Tax,1,2020-12-20,2025-05-12
157,113,Matter_157,Litigation,46,2020-05-13,2021-09-19
158,153,Matter_158,IP,21,2022-09-03,2025-02-06
159,56,Matter_159,M&A,90,2018-05-05,2024-03-10
160,161,Matter_160,Tax,36,2023-08-02,2024-08-30
161,166,Matter_161,Litigation,54,2021-04-01,2025-04-12
162,117,Matter_162,Litigation,87,2021-05-22,2022-06-13
163,134,Matter_163,Tax,57,2023-06-02,2022-10-10
164,58,Matter_164,M&A,1,2020-09-30,2020-12-01
165,44,Matter_165,M&A,63,2022-07-22,2025-11-22
166,173,Matter_166,M&A,54,2021-05-03,2025-01-03
167,160,Matter_167,IP,55,2023-02-01,2025-12-03
168,173,Matter_168,Litigation,40,2018-10-26,2024-01-21
169,61,Matter_169,Litigation,15,2018-09-03,2020-11-15
170,47,Matter_170,Litigation,21,2019-10-10,2021-04-04
171,149,Matter_171,IP,47,2022-12-06,2020-09-09
172,80,Matter_172,Litigation,73,2022-08-30,2025-09-01
173,118,Matter_173,IP,53,2023-06-07,2022-04-08
174,164,Matter_174,M&A,9,2023-03-18,2021-09-05
175,147,Matter_175,Tax,74,2020-04-15,2021-11-04
176,20,Matter_176,Litigation,52,2021-10-25,2023-09-05
177,185,Matter_177,Litigation,57,2019-08-12,2025-11-01
178,146,Matter_178,M&A,26,2021-07-04,2024-12-14
179,47,Matter_179,Tax,41,2021-07-31,2021-04-21
180,49,Matter_180,IP,35,2021-11-15,2022-04-21
181,14,Matter_181,Tax,63,2022-06-22,2025-06-25
182,143,Matter_182,M&A,25,2019-06-20,2021-01-07
183,159,Matter_183,M&A,90,2022-02-26,2025-09-21
184,1,Matter_184,Tax,75,2023-10-11,2024-12-29
185,117,Matter_185,IP,38,2019-03-11,2020-08-15
186,54,Matter_186,IP,2,2021-07-31,2025-01-31
187,118,Matter_187,Litigation,7,2020-09-17,2021-06-24
188,3,Matter_188,IP,82,2023-03-26,2025-10-03
189,144,Matter_189,Tax,91,2019-05-17,2024-08-28
190,185,Matter_190,M&A,34,2020-12-31,2025-02-14
191,12,Matter_191,Litigation,91,2023-01-16,2020-08-24
192,74,Matter_192,Litigation,17,2020-10-12,2025-03-08
193,16,Matter_193,M&A,43,2019-08-01,2023-06-16
194,200,Matter_194,IP,59,2019-02-01,2020-03-30
195,102,Matter_195,M&A,51,2018-07-27,2024-06-09
196,152,Matter_196,IP,54,2021-04-03,2022-11-08
197,156,Matter_197,M&A,24,2022-04-23,2020-01-13
198,117,Matter_198,Tax,25,2022-09-09,2022-06-11
199,8,Matter_199,IP,71,2020-10-13,2020-10-26
200,122,Matter_200,Tax,52,2019-10-17,2020-07-04
201,92,Matter_201,Litigation,70,2021-09-03,2024-10-01
202,164,Matter_202,M&A,88,2021-07-04,2023-11-12
203,90,Matter_203,Litigation,33,2020-02-17,2020-09-18
204,136,Matter_204,Litigation,49,2019-10-15,2020-09-03
205,186,Matter_205,Litigation,29,2023-08-03,2020-10-09
206,60,Matter_206,Litigation,63,2023-10-10,2025-04-17
207,178,Matter_207,M&A,22,2023-03-28,2020-05-09
208,28,Matter_208,Litigation,26,2023-08-05,2023-03-21
209,101,Matter_209,M&A,28,2021-06-17,2024-08-01
210,41,Matter_210,M&A,85,2023-07-31,2022-01-07
211,192,Matter_211,Tax,49,2018-04-05,2021-07-08
212,155,Matter_212,IP,71,2019-01-04,2024-09-17
213,191,Matter_213,IP,81,2022-05-30,2024-03-13
214,145,Matter_214,M&A,84,2023-09-02,2024-04-15
215,161,Matter_215,Tax,49,2023-02-16,2025-01-11
216,157,Matter_216,M&A,20,2020-09-13,2024-03-26
217,141,Matter_217,M&A,86,2020-05-31,2024-03-18
218,46,Matter_218,M&A,92,2021-12-16,2020-11-24
219,35,Matter_219,Tax,63,2018-07-19,2021-06-28
220,134,Matter_220,IP,61,2018-07-27,2023-11-25
221,82,Matter_221,Tax,49,2021-02-26,2021-04-30
222,115,Matter_222,Litigation,71,2023-07-21,2022-01-01
223,197,Matter_223,Tax,1,2023-04-12,2024-05-28
224,47,Matter_224,Tax,96,2021-03-16,2025-12-06
225,153,Matter_225,Tax,13,2018-02-03,2021-06-05
226,194,Matter_226,Tax,94,2019-03-17,2022-07-01
227,10,Matter_227,IP,87,2022-11-01,2020-01-15
228,56,Matter_228,Litigation,51,2019-07-03,2020-04-03
229,30,Matter_229,IP,56,2020-12-19,2023-05-07
230,109,Matter_230,IP,83,2022-02-07,2025-03-11
231,5,Matter_231,Tax,62,2022-07-10,2024-10-03
232,119,Matter_232,M&A,32,2022-02-07,2025-12-18
233,33,Matter_233,M&A,30,2018-07-05,2024-04-02
234,118,Matter_234,IP,29,2022-06-29,2022-07-29
235,65,Matter_235,IP,49,2018-07-29,2022-10-10
236,146,Matter_236,Tax,45,2020-03-08,2025-03-01
237,177,Matter_237,IP,93,2022-01-24,2023-11-18
238,11,Matter_238,Tax,30,2021-03-28,2021-09-27
239,85,Matter_239,M&A,16,2018-10-29,2023-02-03
240,26,Matter_240,M&A,40,2022-05-02,2022-02-11
241,63,Matter_241,Litigation,19,2023-08-28,2021-04-07
242,86,Matter_242,M&A,18,2023-01-19,2020-05-11
243,59,Matter_243,IP,1,2021-02-19,2024-09-13
244,27,Matter_244,M&A,78,2019-05-02,2020-03-05
245,177,Matter_245,Tax,47,2019-06-12,2022-09-12
246,161,Matter_246,M&A,66,2019-02-01,2022-04-24
247,98,Matter_247,Litigation,92,2022-06-02,2020-10-02
248,105,Matter_248,M&A,94,2022-03-09,2021-02-17
249,99,Matter_249,Tax,38,2021-10-20,2020-05-17
250,129,Matter_250,Tax,51,2022-02-06,2025-01-02
251,149,Matter_251,IP,63,2019-08-14,2020-07-18
252,55,Matter_252,M&A,4,2020-03-26,2022-09-29
253,6,Matter_253,Tax,1,2023-09-17,2020-06-30
254,197,Matter_254,Litigation,8,2022-07-03,2024-07-05
255,95,Matter_255,IP,29,2023-08-11,2024-12-02
256,133,Matter_256,Litigation,55,2018-06-14,2022-08-17
257,102,Matter_257,M&A,3,2018-07-05,2022-06-08
258,3,Matter_258,M&A,32,2018-06-09,2020-08-19
259,181,Matter_259,M&A,10,2019-07-16,2021-07-27
260,23,Matter_260,IP,74,2021-09-26,2025-08-25
261,53,Matter_261,Tax,83,2023-04-25,2023-03-30
262,165,Matter_262,IP,34,2023-10-29,2022-08-17
263,83,Matter_263,Litigation,97,2023-02-15,2023-07-30
264,145,Matter_264,IP,87,2019-09-03,2023-08-06
265,85,Matter_265,Litigation,55,2023-10-13,2022-08-28
266,78,Matter_266,IP,92,2019-07-27,2023-05-21
267,110,Matter_267,Tax,32,2021-09-05,2021-08-09
268,1,Matter_268,Litigation,50,2021-07-28,2025-11-05
269,51,Matter_269,M&A,7,2019-10-28,2022-06-24
270,173,Matter_270,M&A,93,2022-05-29,2024-08-20
271,4,Matter_271,IP,8,2021-05-10,2023-05-15
272,190,Matter_272,M&A,65,2021-10-09,2023-02-01
273,193,Matter_273,Litigation,57,2023-09-09,2020-09-06
274,113,Matter_274,M&A,67,2023-09-19,2021-12-18
275,32,Matter_275,Tax,88,2023-12-21,2024-10-15
276,34,Matter_276,Tax,87,2023-06-30,2025-07-23
277,92,Matter_277,IP,59,2021-05-12,2020-07-11
278,95,Matter_278,Litigation,72,2023-04-30,2023-11-11
279,72,Matter_279,Tax,54,2018-03-10,2024-04-10
280,39,Matter_280,Tax,67,2022-02-17,2025-11-18
281,154,Matter_281,Litigation,51,2021-09-18,2023-07-29
282,162,Matter_282,M&A,97,2019-03-25,2024-09-01
283,182,Matter_283,M&A,92,2022-09-03,2024-07-30
284,118,Matter_284,IP,8,2021-06-14,2021-09-03
285,3,Matter_285,M&A,34,2018-04-20,2023-05-13
286,123,Matter_286,Litigation,35,2023-04-28,2024-03-21
287,50,Matter_287,Tax,96,2020-12-23,2022-01-23
288,12,Matter_288,M&A,88,2020-07-21,2025-04-23
289,193,Matter_289,IP,78,2018-07-30,2022-09-14
290,54,Matter_290,M&A,32,2023-05-22,2022-07-12
291,133,Matter_291,Litigation,46,2019-11-30,2023-05-16
292,57,Matter_292,IP,16,2023-11-18,2021-08-14
293,145,Matter_293,M&A,68,2022-04-07,2025-03-11
294,112,Matter_294,IP,37,2019-08-29,2020-08-24
295,47,Matter_295,Litigation,54,2020-09-19,2024-08-17
296,151,Matter_296,Tax,85,2018-05-10,2024-09-02
297,85,Matter_297,Litigation,14,2019-03-27,2025-12-10
298,142,Matter_298,Litigation,95,2020-02-21,2021-07-03
299,66,Matter_299,Litigation,55,2018-03-19,2024-05-09
300,75,Matter_300,Litigation,48,2022-12-12,2022-09-21
