client_id,client_name,client_type,industry,date_onboarded,primary_contact
184,Client_184,Individual,Healthcare,2023-04-22,YFheIV
185,Client_185,Individual,Healthcare,2022-07-26,qIIgKe
186,Client_186,Individual,Finance,2020-02-19,DHrgKX
187,Client_187,Government,Tech,2019-01-22,ZVeIAa
188,Client_188,Government,Finance,2019-02-02,qXrNjZ
189,Client_189,Corporate,Tech,2022-11-01,ipOACM
190,Client_190,Government,Legal,2021-12-22,BITGFi
191,Client_191,Individual,Healthcare,2022-10-01,jKGULc
192,Client_192,Corporate,Legal,2022-08-11,sLYFNO
193,Client_193,Individual,Tech,2023-03-28,mmYOVk
194,Client_194,Individual,Tech,2018-08-10,JDwOOA
195,Client_195,Government,Legal,2019-02-08,vikFTc
196,Client_196,Corporate,Tech,2018-09-06,ytWKAg
197,Client_197,Government,Legal,2022-07-08,eixARe
198,Client_198,Government,Healthcare,2021-10-21,VQUWvu
199,Client_199,Corporate,Legal,2019-03-24,tuelqf
200,Client_200,Individual,Healthcare,2020-10-15,LrhbVy
