col1,col2,col3,col4,col5,col6,col7
377,27,97,2021-08-08,4.5,407,Work_377
378,195,55,2021-10-05,3.0,230,Work_378
379,236,69,2022-09-16,7.4,574,Work_379
380,92,47,2021-01-14,9.8,417,Work_380
381,21,49,2023-03-22,2.9,568,Work_381
382,84,99,2022-11-12,6.7,384,Work_382
383,262,98,2024-06-24,2.4,470,Work_383
384,147,33,2023-02-18,5.9,460,Work_384
385,257,21,2025-07-05,4.9,450,Work_385
386,58,81,2022-11-06,9.7,506,Work_386
387,15,22,2023-06-21,6.3,362,Work_387
388,162,48,2022-11-17,3.8,211,Work_388
389,163,37,2023-06-01,1.6,198,Work_389
390,281,15,2025-07-29,1.9,276,Work_390
391,280,35,2024-08-26,2.6,372,Work_391
392,12,92,2024-05-02,2.9,558,Work_392
393,274,71,2021-10-06,8.6,428,Work_393
394,271,32,2022-09-08,5.8,557,Work_394
395,208,11,2022-10-19,5.5,443,Work_395
396,27,10,2024-05-20,1.6,433,Work_396
397,72,73,2024-11-24,8.7,426,Work_397
398,60,78,2022-02-16,7.4,587,Work_398
399,145,77,2023-09-09,1.1,256,Work_399
400,93,57,2022-10-06,7.2,295,Work_400
401,8,25,2021-12-30,5.7,569,Work_401
402,79,2,2023-03-27,1.3,248,Work_402
403,27,64,2022-10-16,4.9,578,Work_403
404,174,35,2022-08-20,5.1,524,Work_404
405,50,7,2025-02-14,2.1,222,Work_405
406,199,85,2024-11-24,9.5,586,Work_406
407,181,18,2024-07-20,8.6,271,Work_407
408,24,67,2023-10-03,6.9,179,Work_408
409,46,42,2024-03-25,4.9,337,Work_409
410,15,39,2025-05-21,4.4,513,Work_410
411,153,41,2022-05-12,6.7,503,Work_411
412,222,75,2022-10-30,5.7,437,Work_412
413,206,24,2023-02-10,1.1,344,Work_413
414,273,60,2022-07-29,5.4,305,Work_414
415,236,46,2025-07-31,8.2,321,Work_415
416,228,19,2025-05-29,4.9,484,Work_416
417,9,68,2023-03-16,1.0,190,Work_417
418,166,90,2023-01-18,8.0,212,Work_418
419,214,42,2021-08-22,2.4,172,Work_419
420,117,32,2024-02-29,3.0,509,Work_420
421,72,39,2022-02-14,2.1,224,Work_421
422,64,36,2024-04-27,3.6,197,Work_422
423,205,97,2024-01-23,7.7,309,Work_423
424,209,36,2022-01-04,5.4,462,Work_424
425,72,3,2024-10-28,2.4,267,Work_425
426,277,73,2025-04-22,8.8,249,Work_426
427,274,8,2024-02-01,8.9,529,Work_427
428,95,97,2021-02-25,8.8,566,Work_428
429,166,70,2025-01-29,2.8,557,Work_429
430,32,41,2023-08-04,4.8,316,Work_430
431,11,68,2024-12-21,9.9,439,Work_431
432,217,13,2022-03-06,7.8,589,Work_432
433,289,49,2023-06-17,0.8,305,Work_433
434,102,60,2025-06-22,1.1,570,Work_434
435,267,2,2022-08-20,4.9,156,Work_435
436,214,60,2024-11-19,9.1,345,Work_436
437,179,5,2021-05-22,5.6,570,Work_437
438,88,44,2025-06-18,5.2,205,Work_438
439,41,27,2025-06-17,1.5,470,Work_439
440,76,32,2023-04-18,6.7,342,Work_440
441,46,21,2024-10-10,8.3,196,Work_441
442,160,8,2023-10-20,4.1,297,Work_442
443,80,72,2021-10-13,7.9,424,Work_443
444,86,50,2024-07-21,9.7,306,Work_444
445,92,67,2022-09-13,2.4,351,Work_445
446,148,44,2022-05-11,5.5,593,Work_446
447,161,58,2022-06-02,3.2,551,Work_447
448,202,3,2024-09-10,8.0,568,Work_448
449,242,86,2021-11-12,6.0,576,Work_449
450,2,70,2025-01-04,6.5,275,Work_450
451,225,2,2023-05-17,8.1,544,Work_451
452,289,87,2025-06-05,4.3,454,Work_452
453,233,44,2023-02-12,9.2,518,Work_453
454,77,2,2021-06-01,5.6,443,Work_454
455,116,81,2023-07-09,2.0,213,Work_455
456,154,35,2024-05-09,7.1,474,Work_456
457,103,98,2023-09-09,8.0,541,Work_457
458,194,87,2024-04-07,3.5,567,Work_458
459,166,30,2023-04-01,8.6,325,Work_459
460,90,8,2023-12-31,9.1,265,Work_460
461,174,22,2023-11-04,3.1,589,Work_461
462,122,44,2024-11-17,9.8,353,Work_462
463,143,58,2023-05-07,1.8,470,Work_463
464,106,36,2024-01-19,2.4,180,Work_464
465,123,69,2021-03-17,2.3,537,Work_465
466,9,77,2025-06-08,9.0,262,Work_466
467,262,93,2023-01-07,6.7,514,Work_467
468,73,31,2024-12-07,1.9,583,Work_468
469,223,47,2025-07-22,4.7,474,Work_469
470,41,55,2024-01-05,6.3,563,Work_470
471,204,80,2024-05-01,1.3,525,Work_471
472,264,62,2024-07-30,8.9,493,Work_472
473,178,30,2021-06-24,8.1,592,Work_473
474,84,55,2021-08-12,5.3,216,Work_474
475,111,16,2025-04-24,9.7,224,Work_475
476,251,12,2022-05-24,4.5,194,Work_476
477,7,17,2024-09-08,9.8,409,Work_477
478,84,16,2024-09-23,6.8,303,Work_478
479,208,12,2022-12-29,6.5,304,Work_479
480,22,8,2021-12-07,2.1,579,Work_480
481,3,84,2024-08-18,8.9,512,Work_481
482,127,3,2024-06-08,4.6,597,Work_482
483,297,16,2021-04-01,2.0,383,Work_483
484,188,30,2024-02-28,0.6,200,Work_484
485,14,23,2024-08-14,5.8,455,Work_485
486,12,92,2024-10-19,5.5,411,Work_486
487,87,5,2024-08-17,7.3,464,Work_487
488,12,84,2023-03-30,9.0,274,Work_488
489,25,65,2025-03-22,1.3,548,Work_489
490,243,30,2022-11-11,7.4,394,Work_490
491,122,21,2025-06-19,2.3,179,Work_491
492,147,84,2023-06-01,8.7,575,Work_492
493,55,70,2021-08-05,8.3,271,Work_493
494,238,22,2021-01-22,5.6,274,Work_494
495,173,82,2021-07-21,7.2,186,Work_495
496,221,72,2022-06-14,3.5,319,Work_496
497,119,32,2022-03-31,5.0,273,Work_497
498,183,33,2023-11-12,8.3,506,Work_498
499,288,16,2025-03-10,4.9,184,Work_499
500,300,76,2023-11-29,3.9,236,Work_500
